run_name,epoch,lr,dropout,weight_decay,train_acc,val_acc,overfitting_gap,use_focal_loss,timestamp,subdir,lr_extracted,dropout_extracted,weight_decay_extracted,focal_extracted
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,17,5e-06,0.4,0.0005,58.54,62.09,-3.55,1,2025-08-12 18:07:36,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd2e-3,17,5e-06,0.3,0.002,62.7,65.05,-2.36,0,2025-08-12 18:07:38,.,5e-06,0.3,0.002,False
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,17,5e-06,0.3,0.002,59.15,64.57,-5.42,1,2025-08-12 18:07:41,.,5e-06,0.3,0.002,True
lr5e-6_dr0.4_wd5e-4,18,5e-06,0.4,0.0005,61.86,65.21,-3.35,0,2025-08-12 18:09:28,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.3_wd2e-3,18,5e-06,0.3,0.002,62.72,65.17,-2.46,0,2025-08-12 18:09:34,.,5e-06,0.3,0.002,False
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,18,5e-06,0.4,0.0005,57.62,62.35,-4.73,1,2025-08-12 18:09:34,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,18,5e-06,0.3,0.002,58.92,64.55,-5.63,1,2025-08-12 18:09:40,.,5e-06,0.3,0.002,True
lr5e-6_dr0.3_wd1e-3_focal_focal_focal,10,5e-06,0.3,0.001,58.21,62.65,-4.44,1,2025-08-12 18:09:57,.,5e-06,0.3,0.001,True
lr5e-6_dr0.3_wd5e-4,10,5e-06,0.3,0.0005,61.87,64.47,-2.6,0,2025-08-12 18:10:26,.,5e-06,0.3,0.0005,False
lr5e-6_dr0.3_wd5e-4_focal_focal_focal,10,5e-06,0.3,0.0005,57.3,62.25,-4.94,1,2025-08-12 18:10:28,.,5e-06,0.3,0.0005,True
lr5e-6_dr0.3_wd1e-3,10,5e-06,0.3,0.001,61.51,64.59,-3.08,0,2025-08-12 18:10:36,.,5e-06,0.3,0.001,False
lr5e-6_dr0.4_wd5e-4,19,5e-06,0.4,0.0005,61.79,65.64,-3.84,0,2025-08-12 18:11:26,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.3_wd2e-3,19,5e-06,0.3,0.002,62.61,65.33,-2.72,0,2025-08-12 18:11:31,.,5e-06,0.3,0.002,False
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,19,5e-06,0.4,0.0005,56.89,62.13,-5.24,1,2025-08-12 18:11:33,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,19,5e-06,0.3,0.002,58.44,64.29,-5.84,1,2025-08-12 18:11:37,.,5e-06,0.3,0.002,True
