,id_,pre_id,post_id,dist_to_post_syn_soma,dist_to_pre_syn_soma,size,center_position,synapses_depth_in_post,synapses_depth_in_pre,compartment_in_post_syn_soma,compartment_in_pre_syn_soma,pre_clf_type,pre_cell_type,pre_m_type,post_clf_type,post_cell_type,post_mtype_type
11234,109714872,864691136088945719,864691135888684425,59.36508965682983,58.19455084228515,10484,[37172.75  31619.5     394.725],-1.0,-1.0,3.0,2.0,E,23P,L2b,E,23P,L2a
11235,151343853,864691135359288408,864691134948885756,61.30221026611328,121.28758462524414,372,[171812. 122309.  25763.],-1.0,-1.0,3.0,2.0,E,23P,L3b,E,23P,L2a
11236,427587029,864691136051626739,864691136227865937,25.378886688232424,181.6780507507324,3756,[84471.    38613.25    396.175],-1.0,-1.0,3.0,3.0,E,5P-IT,L5b,E,4P,L4b
11237,82336304,864691136903414706,864691135163288109,127.90453204345702,314.46990116119383,17736,[121808. 212890.  24613.],-1.0,-1.0,3.0,2.0,E,4P,L4b,E,5P-ET,L5ET
11238,364196824,864691135013957622,864691135341908933,132.57271417236328,385.25377616882326,12828,[299122. 177110.  17657.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,5P-IT,L4b
11239,402282110,864691135383324378,864691135726246975,15.720078857421877,267.6121527709961,9256,[80515.    57683.      499.125],-1.0,-1.0,3.0,2.0,E,6P-IT,L6tall-c,E,6P-IT,L6short-a
11240,405339324,864691136267705332,864691135615331787,29.838823486328124,418.1532636260986,3988,[81268.25 47761.75   637.2 ],-1.0,-1.0,3.0,2.0,E,23P,L3b,I,BC,PTC
11241,218300471,864691136274220990,864691135741194091,137.1653887939453,167.28087518310548,28096,[210326. 230880.  22352.],-1.0,-1.0,3.0,2.0,E,5P-NP,L5NP,E,6P-CT,L6tall-a
11242,388529442,864691135594340651,864691136553724578,168.26924328613282,83.36518768310548,6012,[313904. 229630.  26609.],-1.0,-1.0,3.0,3.0,E,6P-IT,L6short-a,I,MC,DTC
11243,170077091,864691135696959642,864691135889385097,63.00242669677734,91.35896697998048,3952,[183178. 236174.  16303.],-1.0,-1.0,3.0,3.0,E,6P-IT,L6tall-b,E,6P-IT,L6short-b
11244,278531358,864691135725206187,864691136040169982,70.62956326293946,359.4977681427002,15436,[248260. 169122.  21385.],-1.0,-1.0,3.0,2.0,E,4P,L3b,E,4P,L4c
11245,295698342,864691136239032636,864691135335283177,79.74912295913697,497.4098931655884,7688,[260049. 153303.  26131.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,4P,L4b
11246,336672782,864691136134942347,864691135730660281,66.08043078613281,332.8876469345093,2068,[282494. 106398.  24159.],-1.0,-1.0,3.0,3.0,I,BC,PTC,E,23P,L3a
11247,124512481,864691136617403611,864691135749946665,32.48455670166015,400.9607705612183,6492,[156908. 159858.  22304.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,4P,L4a
11248,48074024,864691135738520433,864691136051665395,89.98491375732422,410.3753810691833,9076,[112400. 173128.  22932.],-1.0,-1.0,3.0,3.0,E,5P-IT,L5b,E,4P,L4b
11249,180674403,864691135387903105,864691135565555735,9.174921875,570.4622162628174,4332,[187826. 182711.  27286.],-1.0,-1.0,3.0,2.0,I,MC,DTC,I,BPC,PTC
11250,420212809,864691136237477948,864691135781848400,12.3153837890625,234.9545234985352,928,[83353.25  31840.5     650.725],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,23P,L3a
11251,92562950,864691135341033925,864691135741045355,50.3375,194.14508679199216,15232,[34344.5   62804.5     586.975],-1.0,-1.0,3.0,3.0,E,6P-IT,L6short-a,E,6P-CT,L6tall-c
11252,368018124,864691135135557913,864691136883889518,76.4425107421875,272.87700149536136,192,[302270. 181664.  18559.],-1.0,-1.0,3.0,3.0,E,4P,L4b,I,BPC,DTC
11253,463272446,864691135490597607,864691136741518940,167.41971746826172,210.81397064208983,2220,[357700. 196646.  23965.],-1.0,-1.0,3.0,2.0,I,BPC,DTC,E,5P-ET,L5ET
11254,169882544,864691135461801202,864691135995307946,57.5556484375,153.99957511901854,2620,[45346.5  58160.     396.25],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,6P-IT,L6short-b
11255,142533727,864691136578765076,864691136100822645,116.00086639404296,581.849285522461,396,[42641.    22422.      589.525],-1.0,-1.0,3.0,2.0,E,6P-IT,L6tall-a,E,23P,L2a
11256,53021456,864691136273638413,864691136274117054,51.10984875488281,387.378468170166,9672,[117220. 183906.  16459.],-1.0,-1.0,3.0,2.0,E,5P-IT,L5a,E,5P-IT,L5a
11257,88702935,864691136378741461,864691136176054278,192.26544609069825,242.4714959411621,12300,[34514.   23745.25   643.95],-1.0,-1.0,3.0,3.0,E,23P,L2a,E,23P,L2c
11258,90975684,864691136057655768,864691136522402961,80.62177000427246,349.4303335876465,2576,[34517.25 57015.5    473.75],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,6P-CT,L6tall-a
11259,464894181,864691136334850227,864691134989446778,105.64171444702149,94.45074713134764,3720,[359936. 167380.  19248.],-1.0,-1.0,3.0,2.0,E,4P,L4a,E,5P-IT,L5a
11260,320954208,864691136673737351,864691134885469690,116.96133773803712,184.5965206298828,2512,[272148. 188932.  17383.],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,5P-IT,L6short-a
11261,271680668,864691135662673604,864691135866409349,79.03656675720215,246.54012713623047,956,[60523.5   38202.5     665.725],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,4P,L3b
11262,480715153,864691135786354372,864691136099772789,890.8282973861694,277.50025946044923,12336,[371194. 208074.  22710.],-1.0,-1.0,3.0,3.0,E,6P-IT,L6short-a,E,6P-CT,L6tall-c
11263,291904744,864691135587126002,864691135737498993,0.0,245.57723180389405,1832,[255524. 162330.  26223.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,4P,L4c
